,mass A,,,
t,y,vy,ay,
6.459,,,
6.476,,,
6.493,,,
6.510,,,
6.527,,,
6.544,,,
6.561,,,
6.578,,,
6.595,,,
6.612,,,
6.630,,,
6.647,,,
6.664,,,
6.681,,,
6.698,,,
6.715,,,
6.732,,,
6.749,,,
6.766,,,
6.783,,,
6.800,,,
6.817,-1.114,-0.110,3.827E-2
6.834,,,
6.851,,,
6.868,,,
6.885,,,
6.902,,,
6.919,,,
6.936,,,
6.953,,,
6.970,,,
6.987,,,
7.004,,,
7.021,,,
7.039,,,
7.056,,,
7.073,,,
7.090,,,
7.107,,,
7.124,,,
7.141,,,
7.158,,,
7.175,,,
7.192,,,
7.209,,,
7.226,,,
7.243,,,
7.260,,,
7.277,,,
7.294,,,
7.311,,,
7.328,,,
7.345,,,
7.362,,,
7.379,,,
7.396,,,
7.413,,,
7.430,,,
7.448,,,
7.465,,,
7.482,,,
7.499,-1.176,-9.075E-2,-7.367E-3
7.516,,,
7.533,,,
7.550,,,
7.567,,,
7.584,,,
7.601,,,
7.618,,,
7.635,,,
7.652,,,
7.669,,,
7.686,,,
7.703,,,
7.720,,,
7.737,,,
7.754,,,
7.771,,,
7.788,,,
7.805,,,
7.822,,,
7.840,,,
7.857,,,
7.874,,,
7.891,,,
7.908,,,
7.925,,,
7.942,,,
7.959,,,
7.976,,,
7.993,,,
8.010,,,
8.027,,,
8.044,,,
8.061,,,
8.078,,,
8.095,,,
8.112,,,
8.129,,,
8.146,,,
8.163,,,
8.180,-1.238,-0.119,-2.293E-2
8.197,,,
8.214,,,
8.231,,,
8.249,,,
8.266,,,
8.283,,,
8.300,,,
8.317,,,
8.334,,,
8.351,,,
8.368,,,
8.385,,,
8.402,,,
8.419,,,
8.436,,,
8.453,,,
8.470,,,
8.487,,,
8.504,,,
8.521,,,
8.538,,,
8.555,,,
8.572,,,
8.589,,,
8.606,,,
8.623,,,
8.641,,,
8.658,,,
8.675,,,
8.692,,,
8.709,,,
8.726,,,
8.743,,,
8.760,,,
8.777,,,
8.794,,,
8.811,,,
8.828,,,
8.845,,,
8.862,-1.338,-0.132,9.991E-3
8.879,,,
8.896,,,
8.913,,,
8.930,,,
8.947,,,
8.964,,,
8.981,,,
8.998,,,
9.015,,,
9.032,,,
9.050,,,
9.067,,,
9.084,,,
9.101,,,
9.118,,,
9.135,,,
9.152,,,
9.169,,,
9.186,,,
9.203,,,
9.220,,,
9.237,,,
9.254,,,
9.271,,,
9.288,,,
9.305,,,
9.322,,,
9.339,,,
9.356,,,
9.373,,,
9.390,,,
9.407,,,
9.424,,,
9.442,,,
9.459,,,
9.476,,,
9.493,,,
9.510,,,
9.527,,,
9.544,-1.418,-9.969E-2,2.362E-2
9.561,,,
9.578,,,
9.595,,,
9.612,,,
9.629,,,
9.646,,,
9.663,,,
9.680,,,
9.697,,,
9.714,,,
9.731,,,
9.748,,,
9.765,,,
9.782,,,
9.799,,,
9.816,,,
9.833,,,
9.851,,,
9.868,,,
9.885,,,
9.902,,,
9.919,,,
9.936,,,
9.953,,,
9.970,,,
9.987,,,
10.004,,,
10.021,,,
10.038,,,
10.055,,,
10.072,,,
10.089,,,
10.106,,,
10.123,,,
10.140,,,
10.157,,,
10.174,,,
10.191,,,
10.208,,,
10.225,-1.474,-9.535E-2,-5.450E-3
10.242,,,
10.260,,,
10.277,,,
10.294,,,
10.311,,,
10.328,,,
10.345,,,
10.362,,,
10.379,,,
10.396,,,
10.413,,,
10.430,,,
10.447,,,
10.464,,,
10.481,,,
10.498,,,
10.515,,,
10.532,,,
10.549,,,
10.566,,,
10.583,,,
10.600,,,
10.617,,,
10.634,,,
10.652,,,
10.669,,,
10.686,,,
10.703,,,
10.720,,,
10.737,,,
10.754,,,
10.771,,,
10.788,,,
10.805,,,
10.822,,,
10.839,,,
10.856,,,
10.873,,,
10.890,,,
10.907,-1.548,-0.113,1.998E-2
10.924,,,
10.941,,,
10.958,,,
10.975,,,
10.992,,,
11.009,,,
11.026,,,
11.043,,,
11.061,,,
11.078,,,
11.095,,,
11.112,,,
11.129,,,
11.146,,,
11.163,,,
11.180,,,
11.197,,,
11.214,,,
11.231,,,
11.248,,,
11.265,,,
11.282,,,
11.299,,,
11.316,,,
11.333,,,
11.350,,,
11.367,,,
11.384,,,
11.401,,,
11.418,,,
11.435,,,
11.453,,,
11.470,,,
11.487,,,
11.504,,,
11.521,,,
11.538,,,
11.555,,,
11.572,,,
11.589,-1.628,-7.368E-2,1.817E-3
11.606,,,
11.623,,,
11.640,,,
11.657,,,
11.674,,,
11.691,,,
11.708,,,
11.725,,,
11.742,,,
11.759,,,
11.776,,,
11.793,,,
11.810,,,
11.827,,,
11.844,,,
11.862,,,
11.879,,,
11.896,,,
11.913,,,
11.930,,,
11.947,,,
11.964,,,
11.981,,,
11.998,,,
12.015,,,
12.032,,,
12.049,,,
12.066,,,
12.083,,,
12.100,,,
12.117,,,
