t,y,vy,ay
9.269,,,
9.290,,,
9.312,,,
9.333,,,
9.354,,,
9.376,,,
9.397,-4.288,0.000,-4.574E-2
9.419,,,
9.440,,,
9.461,,,
9.483,,,
9.504,,,
9.525,,,
9.547,,,
9.568,,,
9.589,,,
9.611,,,
9.632,,,
9.653,,,
9.675,,,
9.696,,,
9.718,,,
9.739,,,
9.760,,,
9.782,,,
9.803,,,
9.824,,,
9.846,,,
9.867,,,
9.888,,,
9.910,,,
9.931,,,
9.952,,,
9.974,,,
9.995,,,
10.017,,,
10.038,,,
10.059,,,
10.081,,,
10.102,,,
10.123,,,
10.145,,,
10.166,,,
10.187,,,
10.209,,,
10.230,,,
10.251,-4.288,-6.808E-2,-6.892E-2
10.273,,,
10.294,,,
10.316,,,
10.337,,,
10.358,,,
10.380,,,
10.401,,,
10.422,,,
10.444,,,
10.465,,,
10.486,,,
10.508,,,
10.529,,,
10.550,,,
10.572,,,
10.593,,,
10.615,,,
10.636,,,
10.657,,,
10.679,,,
10.700,,,
10.721,,,
10.743,,,
10.764,,,
10.785,,,
10.807,,,
10.828,,,
10.849,,,
10.871,,,
10.892,,,
10.914,,,
10.935,,,
10.956,,,
10.978,,,
10.999,,,
11.020,,,
11.042,,,
11.063,,,
11.084,,,
11.106,-4.401,-0.135,-4.669E-2
11.127,,,
11.148,,,
11.170,,,
11.191,,,
11.213,,,
11.234,,,
11.255,,,
11.277,,,
11.298,,,
11.319,,,
11.341,,,
11.362,,,
11.383,,,
11.405,,,
11.426,,,
11.447,,,
11.469,,,
11.490,,,
11.512,,,
11.533,,,
11.554,,,
11.576,,,
11.597,,,
11.618,,,
11.640,,,
11.661,,,
11.682,,,
11.704,,,
11.725,,,
11.746,,,
11.768,,,
11.789,,,
11.811,,,
11.832,,,
11.853,,,
11.875,,,
11.896,,,
11.917,,,
11.939,,,
11.960,-4.513,-0.135,4.623E-2
11.981,,,
12.003,,,
12.024,,,
12.045,,,
12.067,,,
12.088,,,
12.110,,,
12.131,,,
12.152,,,
12.174,,,
12.195,,,
12.216,,,
12.238,,,
12.259,,,
12.280,,,
12.302,,,
12.323,,,
12.344,,,
12.366,,,
12.387,,,
12.409,,,
12.430,,,
12.451,,,
12.473,,,
12.494,,,
12.515,,,
12.537,,,
12.558,,,
12.579,,,
12.601,,,
12.622,,,
12.643,,,
12.665,,,
12.686,,,
12.708,,,
12.729,,,
12.750,,,
12.772,,,
12.793,,,
12.814,-4.626,-6.741E-2,7.004E-2
12.836,,,
12.857,,,
12.878,,,
12.900,,,
12.921,,,
12.942,,,
12.964,,,
12.985,,,
13.007,,,
13.028,,,
13.049,,,
13.071,,,
13.092,,,
13.113,,,
13.135,,,
13.156,,,
13.177,,,
13.199,,,
13.220,,,
13.241,,,
13.263,,,
13.284,,,
13.306,,,
13.327,,,
13.348,,,
13.370,,,
13.391,,,
13.412,,,
13.434,,,
13.455,,,
13.476,,,
13.498,,,
13.519,,,
13.540,,,
13.562,,,
13.583,,,
13.605,,,
13.626,,,
13.647,,,
13.669,-4.626,0.000,-4.702E-2
13.690,,,
13.711,,,
13.733,,,
13.754,,,
13.775,,,
13.797,,,
13.818,,,
13.839,,,
13.861,,,
13.882,,,
13.904,,,
13.925,,,
13.946,,,
13.968,,,
13.989,,,
14.010,,,
14.032,,,
14.053,,,
14.074,,,
14.096,,,
14.117,,,
14.138,,,
14.160,,,
14.181,,,
14.203,,,
14.224,,,
14.245,,,
14.267,,,
14.288,,,
14.309,,,
14.331,,,
14.352,,,
14.373,,,
14.395,,,
14.416,,,
14.437,,,
14.459,,,
14.480,,,
14.502,,,
14.523,-4.626,-0.138,-0.141
14.544,,,
14.566,,,
14.587,,,
14.608,,,
14.630,,,
14.651,,,
14.672,,,
14.694,,,
14.715,,,
14.736,,,
14.758,,,
14.779,,,
14.801,,,
14.822,,,
14.843,,,
14.865,,,
14.886,,,
14.907,,,
14.929,,,
14.950,,,
14.971,,,
14.993,,,
15.014,,,
15.035,,,
15.057,,,
15.078,,,
15.100,,,
15.121,,,
15.142,,,
15.164,,,
15.185,,,
15.206,,,
15.228,,,
15.249,,,
15.270,,,
15.292,,,
15.313,,,
15.334,,,
15.356,,,
15.377,-4.852,-0.272,-4.623E-2
15.399,,,
15.420,,,
15.441,,,
15.463,,,
15.484,,,
15.505,,,
15.527,,,
15.548,,,
15.569,,,
15.591,,,
15.612,,,
15.633,,,
15.655,,,
15.676,,,
15.698,,,
15.719,,,
15.740,,,
15.762,,,
15.783,,,
15.804,,,
15.826,,,
15.847,,,
15.868,,,
15.890,,,
15.911,,,
15.932,,,
15.954,,,
15.975,,,
15.997,,,
16.018,,,
16.039,,,
