t,y,vy,ay
40.387,,,
40.408,,,
40.429,,,
40.451,,,
40.472,,,
40.493,,,
40.515,,,
40.536,,,
40.557,,,
40.579,,,
40.600,,,
40.621,,,
40.643,,,
40.664,,,
40.686,,,
40.707,,,
40.728,,,
40.750,,,
40.771,,,
40.792,,,
40.814,,,
40.835,,,
40.856,,,
40.878,,,
40.899,,,
40.920,,,
40.942,,,
40.963,,,
40.985,,,
41.006,-7.559,-0.135,1.692E-4
41.027,,,
41.049,,,
41.070,,,
41.091,,,
41.113,,,
41.134,,,
41.155,,,
41.177,,,
41.198,,,
41.219,,,
41.241,,,
41.262,,,
41.284,,,
41.305,,,
41.326,,,
41.348,,,
41.369,,,
41.390,,,
41.412,,,
41.433,,,
41.454,,,
41.476,,,
41.497,,,
41.518,,,
41.540,,,
41.561,,,
41.583,,,
41.604,,,
41.625,,,
41.647,,,
41.668,,,
41.689,,,
41.711,,,
41.732,,,
41.753,,,
41.775,,,
41.796,,,
41.817,,,
41.839,,,
41.860,-7.672,-0.134,0.000
41.882,,,
41.903,,,
41.924,,,
41.946,,,
41.967,,,
41.988,,,
42.010,,,
42.031,,,
42.052,,,
42.074,,,
42.095,,,
42.116,,,
42.138,,,
42.159,,,
42.181,,,
42.202,,,
42.223,,,
42.245,,,
42.266,,,
42.287,,,
42.309,,,
42.330,,,
42.351,,,
42.373,,,
42.394,,,
42.415,,,
42.437,,,
42.458,,,
42.480,,,
42.501,,,
42.522,,,
42.544,,,
42.565,,,
42.586,,,
42.608,,,
42.629,,,
42.650,,,
42.672,,,
42.693,,,
42.714,-7.784,-0.134,0.135
42.736,,,
42.757,,,
42.779,,,
42.800,,,
42.821,,,
42.843,,,
42.864,,,
42.885,,,
42.907,,,
42.928,,,
42.949,,,
42.971,,,
42.992,,,
43.013,,,
43.035,,,
43.056,,,
43.078,,,
43.099,,,
43.120,,,
43.142,,,
43.163,,,
43.184,,,
43.206,,,
43.227,,,
43.248,,,
43.270,,,
43.291,,,
43.312,,,
43.334,,,
43.355,,,
43.377,,,
43.398,,,
43.419,,,
43.441,,,
43.462,,,
43.483,,,
43.505,,,
43.526,,,
43.547,,,
43.569,-7.897,6.561E-2,2.191E-2
43.590,,,
43.611,,,
43.633,,,
43.654,,,
43.676,,,
43.697,,,
43.718,,,
43.740,,,
43.761,,,
43.782,,,
43.804,,,
43.825,,,
43.846,,,
43.868,,,
43.889,,,
43.910,,,
43.932,,,
43.953,,,
43.975,,,
43.996,,,
44.017,,,
44.039,,,
44.060,,,
44.081,,,
44.103,,,
44.124,,,
44.145,,,
44.167,,,
44.188,,,
44.209,,,
44.231,,,
44.252,,,
44.274,,,
44.295,,,
44.316,,,
44.338,,,
44.359,,,
44.380,,,
44.402,,,
44.423,-7.673,-7.237E-4,-8.759E-2
44.444,,,
44.466,,,
44.487,,,
44.508,,,
44.530,,,
44.551,,,
44.573,,,
44.594,,,
44.615,,,
44.637,,,
44.658,,,
44.679,,,
44.701,,,
44.722,,,
44.743,,,
44.765,,,
44.786,,,
44.807,,,
44.829,,,
44.850,,,
44.872,,,
44.893,,,
44.914,,,
44.936,,,
44.957,,,
44.978,,,
45.000,,,
45.021,,,
45.042,,,
45.064,,,
45.085,,,
45.106,,,
45.128,,,
45.149,,,
45.171,,,
45.192,,,
45.213,,,
45.235,,,
45.256,,,
45.277,-7.898,-0.196,-0.155
45.299,,,
45.320,,,
45.341,,,
45.363,,,
45.384,,,
45.405,,,
45.427,,,
45.448,,,
45.470,,,
45.491,,,
45.512,,,
45.534,,,
45.555,,,
45.576,,,
45.598,,,
45.619,,,
45.640,,,
45.662,,,
45.683,,,
45.704,,,
45.726,,,
45.747,,,
45.769,,,
45.790,,,
45.811,,,
45.833,,,
45.854,,,
45.875,,,
45.897,,,
45.918,,,
45.939,,,
45.961,,,
45.982,,,
46.003,,,
46.025,,,
46.046,,,
46.068,,,
46.089,,,
46.110,,,
46.132,-8.011,-0.203,6.761E-2
46.153,,,
46.174,,,
46.196,,,
46.217,,,
46.238,,,
46.260,,,
46.281,,,
46.302,,,
46.324,,,
46.345,,,
46.367,,,
46.388,,,
46.409,,,
46.431,,,
46.452,,,
46.473,,,
46.495,,,
46.516,,,
46.537,,,
46.559,,,
46.580,,,
46.601,,,
46.623,,,
46.644,,,
46.666,,,
46.687,,,
46.708,,,
46.730,,,
46.751,,,
46.772,,,
46.794,,,
46.815,,,
46.836,,,
46.858,,,
46.879,,,
46.900,,,
46.922,,,
46.943,,,
46.965,,,
46.986,-8.237,-0.136,4.631E-2
47.007,,,
47.029,,,
47.050,,,
47.071,,,
47.093,,,
47.114,,,
47.135,,,
47.157,,,
47.178,,,
47.199,,,
47.221,,,
47.242,,,
47.264,,,
47.285,,,
47.306,,,
47.328,,,
47.349,,,
47.370,,,
47.392,,,
47.413,,,
47.434,,,
47.456,,,
47.477,,,
47.498,,,
47.520,,,
47.541,,,
47.563,,,
47.584,,,
47.605,,,
47.627,,,
47.648,,,
47.669,,,
47.691,,,
47.712,,,
47.733,,,
47.755,,,
47.776,,,
47.797,,,
47.819,,,
47.840,-8.236,-6.729E-2,2.335E-2
47.862,,,
47.883,,,
47.904,,,
47.926,,,
47.947,,,
47.968,,,
47.990,,,
48.011,,,
48.032,,,
48.054,,,
48.075,,,
48.096,,,
48.118,,,
48.139,,,
48.161,,,
48.182,,,
48.203,,,
48.225,,,
48.246,,,
48.267,,,
48.289,,,
48.310,,,
48.331,,,
48.353,,,
48.374,,,
48.395,,,
48.417,,,
48.438,,,
48.460,,,
48.481,,,
48.502,,,
48.524,,,
48.545,,,
48.566,,,
48.588,,,
48.609,,,
48.630,,,
48.652,,,
48.673,,,
48.694,-8.349,-0.136,-2.694E-4
48.716,,,
48.737,,,
48.759,,,
48.780,,,
48.801,,,
48.823,,,
48.844,,,
48.865,,,
48.887,,,
48.908,,,
48.929,,,
48.951,,,
48.972,,,
48.993,,,
49.015,,,
49.036,,,
49.058,,,
49.079,,,
49.100,,,
49.122,,,
49.143,,,
49.164,,,
49.186,,,
49.207,,,
49.228,,,
49.250,,,
49.271,,,
49.292,,,
49.314,,,
49.335,,,
49.357,,,
49.378,,,
49.399,,,
49.421,,,
49.442,,,
49.463,,,
49.485,,,
49.506,,,
49.527,,,
49.549,-8.462,-6.656E-2,5.974E-2
49.570,,,
49.591,,,
49.613,,,
49.634,,,
49.656,,,
49.677,,,
49.698,,,
49.720,,,
49.741,,,
49.762,,,
49.784,,,
49.805,,,
49.826,,,
49.848,,,
49.869,,,
49.890,,,
49.912,,,
49.933,,,
49.955,,,
49.976,,,
49.997,,,
50.019,,,
50.040,,,
50.061,,,
50.083,,,
50.104,,,
50.125,,,
50.147,,,
50.168,,,
50.189,,,
50.211,,,
50.232,,,
50.254,,,
50.275,,,
50.296,,,
50.318,,,
50.339,,,
50.360,,,
50.382,,,
50.403,-8.462,-1.400E-2,2.193E-2
50.424,,,
50.446,,,
50.467,,,
50.488,,,
50.510,,,
50.531,,,
50.553,,,
50.574,,,
50.595,,,
50.617,,,
50.638,,,
50.659,,,
50.681,,,
50.702,,,
50.723,,,
50.745,,,
50.766,,,
50.787,,,
50.809,,,
50.830,,,
50.852,,,
50.873,,,
50.894,,,
50.916,,,
50.937,,,
50.958,,,
50.980,,,
51.001,,,
51.022,,,
51.044,,,
51.065,,,
51.086,,,
51.108,,,
51.129,,,
51.151,,,
51.172,,,
51.193,,,
51.215,,,
51.236,,,
51.257,-8.485,-4.170E-2,4.759E-3
51.279,,,
51.300,,,
51.321,,,
51.343,,,
51.364,,,
51.385,,,
51.407,,,
51.428,,,
51.450,,,
51.471,,,
51.492,,,
51.514,,,
51.535,,,
51.556,,,
51.578,,,
51.599,,,
51.620,,,
51.642,,,
51.663,,,
51.684,,,
51.706,,,
51.727,,,
51.749,,,
51.770,,,
51.791,,,
51.813,,,
51.834,,,
51.855,,,
51.877,,,
51.898,,,
51.919,,,
51.941,,,
51.962,,,
51.983,,,
52.005,,,
52.026,,,
52.048,,,
52.069,,,
52.090,,,
52.112,-8.532,-1.372E-2,4.733E-3
52.133,,,
52.154,,,
52.176,,,
52.197,,,
52.218,,,
52.240,,,
52.261,,,
52.283,,,
52.304,,,
52.325,,,
52.347,,,
52.368,,,
52.389,,,
52.411,,,
52.432,,,
52.453,,,
52.475,,,
52.496,,,
52.517,,,
52.539,,,
52.560,,,
52.582,,,
52.603,,,
52.624,,,
52.646,,,
52.667,,,
52.688,,,
52.710,,,
52.731,,,
52.752,,,
52.774,,,
52.795,,,
52.816,,,
52.838,,,
52.859,,,
52.881,,,
52.902,,,
52.923,,,
52.945,,,
52.966,-8.509,-1.389E-2,4.546E-3
52.987,,,
53.009,,,
53.030,,,
53.051,,,
53.073,,,
53.094,,,
53.115,,,
53.137,,,
53.158,,,
53.180,,,
53.201,,,
53.222,,,
53.244,,,
53.265,,,
53.286,,,
53.308,,,
53.329,,,
53.350,,,
53.372,,,
53.393,,,
53.414,,,
53.436,,,
53.457,,,
53.479,,,
53.500,,,
53.521,,,
53.543,,,
53.564,,,
53.585,,,
53.607,,,
53.628,,,
53.649,,,
53.671,,,
53.692,,,
53.713,,,
53.735,,,
53.756,,,
53.778,,,
53.799,,,
53.820,-8.555,-2.702E-2,-9.182E-3
53.842,,,
53.863,,,
53.884,,,
53.906,,,
53.927,,,
53.948,,,
53.970,,,
53.991,,,
54.012,,,
54.034,,,
54.055,,,
54.077,,,
54.098,,,
54.119,,,
54.141,,,
54.162,,,
54.183,,,
54.205,,,
54.226,,,
54.247,,,
54.269,,,
54.290,,,
54.311,,,
54.333,,,
54.354,,,
54.376,,,
54.397,,,
54.418,,,
54.440,,,
54.461,,,
54.482,,,
54.504,,,
54.525,,,
54.546,,,
54.568,,,
54.589,,,
54.610,,,
54.632,,,
54.653,,,
54.675,-8.555,-1.349E-2,-4.602E-3
54.696,,,
54.717,,,
54.739,,,
54.760,,,
54.781,,,
54.803,,,
54.824,,,
54.845,,,
54.867,,,
54.888,,,
54.909,,,
54.931,,,
54.952,,,
54.974,,,
54.995,,,
55.016,,,
55.038,,,
55.059,,,
55.080,,,
55.102,,,
55.123,,,
55.144,,,
55.166,,,
55.187,,,
55.208,,,
55.230,,,
55.251,,,
55.273,,,
55.294,,,
55.315,,,
55.337,,,
55.358,,,
55.379,,,
55.401,,,
55.422,,,
55.443,,,
55.465,,,
55.486,,,
55.507,,,
55.529,-8.579,-4.143E-2,-2.263E-2
55.550,,,
55.572,,,
55.593,,,
55.614,,,
55.636,,,
55.657,,,
55.678,,,
55.700,,,
55.721,,,
55.742,,,
55.764,,,
55.785,,,
55.806,,,
55.828,,,
55.849,,,
55.871,,,
55.892,,,
55.913,,,
55.935,,,
55.956,,,
55.977,,,
55.999,,,
56.020,,,
56.041,,,
56.063,,,
56.084,,,
56.105,,,
56.127,,,
56.148,,,
56.170,,,
56.191,,,
56.212,,,
56.234,,,
56.255,,,
56.276,,,
56.298,,,
56.319,,,
56.340,,,
56.362,,,
56.383,-8.625,-5.479E-2,-1.842E-2
56.404,,,
56.426,,,
56.447,,,
56.469,,,
56.490,,,
56.511,,,
56.533,,,
56.554,,,
56.575,,,
56.597,,,
56.618,,,
56.639,,,
56.661,,,
56.682,,,
56.703,,,
56.725,,,
56.746,,,
56.768,,,
56.789,,,
56.810,,,
56.832,,,
56.853,,,
56.874,,,
56.896,,,
56.917,,,
56.938,,,
56.960,,,
56.981,,,
57.002,,,
57.024,,,
57.045,,,
57.067,,,
57.088,,,
57.109,,,
57.131,,,
57.152,,,
57.173,,,
57.195,,,
57.216,,,
57.237,-8.672,-6.808E-2,4.433E-3
57.259,,,
57.280,,,
57.301,,,
57.323,,,
57.344,,,
57.366,,,
57.387,,,
57.408,,,
57.430,,,
57.451,,,
57.472,,,
57.494,,,
57.515,,,
57.536,,,
57.558,,,
57.579,,,
57.600,,,
57.622,,,
57.643,,,
57.665,,,
57.686,,,
57.707,,,
57.729,,,
57.750,,,
57.771,,,
57.793,,,
57.814,,,
57.835,,,
57.857,,,
57.878,,,
57.899,,,
57.921,,,
57.942,,,
57.964,,,
57.985,,,
58.006,,,
58.028,,,
58.049,,,
58.070,,,
58.092,-8.742,-5.287E-2,9.006E-3
58.113,,,
58.134,,,
58.156,,,
58.177,,,
58.198,,,
58.220,,,
58.241,,,
58.263,,,
58.284,,,
58.305,,,
58.327,,,
58.348,,,
58.369,,,
58.391,,,
58.412,,,
58.433,,,
58.455,,,
58.476,,,
58.497,,,
58.519,,,
58.540,,,
58.562,,,
58.583,,,
58.604,,,
58.626,,,
58.647,,,
58.668,,,
58.690,,,
58.711,,,
58.732,,,
58.754,,,
58.775,,,
58.796,,,
58.818,,,
58.839,,,
58.861,,,
58.882,,,
58.903,,,
58.925,,,
58.946,-8.765,-4.054E-2,1.371E-2
58.967,,,
58.989,,,
59.010,,,
59.031,,,
59.053,,,
59.074,,,
59.095,,,
59.117,,,
59.138,,,
59.160,,,
59.181,,,
59.202,,,
59.224,,,
59.245,,,
59.266,,,
59.288,,,
59.309,,,
59.330,,,
59.352,,,
59.373,,,
59.394,,,
59.416,,,
59.437,,,
59.459,,,
59.480,,,
59.501,,,
59.523,,,
59.544,,,
59.565,,,
59.587,,,
59.608,,,
59.629,,,
59.651,,,
59.672,,,
59.693,,,
59.715,,,
59.736,,,
59.758,,,
59.779,,,
59.800,-8.812,-4.229E-2,-1.352E-2
59.822,,,
59.843,,,
59.864,,,
59.886,,,
59.907,,,
59.928,,,
59.950,,,
59.971,,,
59.992,,,
60.014,,,
60.035,,,
60.057,,,
60.078,,,
60.099,,,
60.121,,,
60.142,,,
60.163,,,
60.185,,,
60.206,,,
60.227,,,
60.249,,,
60.270,,,
60.291,,,
60.313,,,
60.334,,,
60.356,,,
60.377,,,
60.398,,,
60.420,,,
60.441,,,
60.462,,,
60.484,,,
60.505,,,
60.526,,,
60.548,,,
60.569,,,
60.590,,,
60.612,,,
60.633,,,
60.655,-8.835,-5.441E-2,0.000
60.676,,,
60.697,,,
60.719,,,
60.740,,,
60.761,,,
60.783,,,
60.804,,,
60.825,,,
60.847,,,
60.868,,,
60.889,,,
60.911,,,
60.932,,,
60.954,,,
60.975,,,
60.996,,,
61.018,,,
61.039,,,
61.060,,,
61.082,,,
61.103,,,
61.124,,,
61.146,,,
61.167,,,
61.188,,,
61.210,,,
61.231,,,
61.253,,,
61.274,,,
61.295,,,
61.317,,,
61.338,,,
61.359,,,
61.381,,,
61.402,,,
61.423,,,
61.445,,,
61.466,,,
61.487,,,
61.509,-8.905,-5.262E-2,0.000
61.530,,,
61.552,,,
61.573,,,
61.594,,,
61.616,,,
61.637,,,
61.658,,,
61.680,,,
61.701,,,
61.722,,,
61.744,,,
61.765,,,
61.786,,,
61.808,,,
61.829,,,
61.851,,,
61.872,,,
61.893,,,
61.915,,,
61.936,,,
61.957,,,
61.979,,,
62.000,,,
62.021,,,
62.043,,,
62.064,,,
62.085,,,
62.107,,,
62.128,,,
62.150,,,
62.171,,,
62.192,,,
62.214,,,
62.235,,,
62.256,,,
62.278,,,
62.299,,,
62.320,,,
62.342,,,
62.363,-8.928,-4.054E-2,-4.489E-3
62.384,,,
62.406,,,
62.427,,,
62.449,,,
62.470,,,
62.491,,,
62.513,,,
62.534,,,
62.555,,,
62.577,,,
62.598,,,
62.619,,,
62.641,,,
62.662,,,
62.683,,,
62.705,,,
62.726,,,
62.748,,,
62.769,,,
62.790,,,
62.812,,,
62.833,,,
62.854,,,
62.876,,,
62.897,,,
62.918,,,
62.940,,,
62.961,,,
62.982,,,
63.004,,,
63.025,,,
63.047,,,
63.068,,,
63.089,,,
63.111,,,
63.132,,,
63.153,,,
63.175,,,
63.196,,,
63.217,-8.975,-6.824E-2,-4.465E-3
63.239,,,
63.260,,,
63.281,,,
63.303,,,
63.324,,,
63.346,,,
63.367,,,
63.388,,,
63.410,,,
63.431,,,
63.452,,,
63.474,,,
63.495,,,
63.516,,,
63.538,,,
63.559,,,
63.580,,,
63.602,,,
63.623,,,
63.645,,,
63.666,,,
63.687,,,
63.709,,,
63.730,,,
63.751,,,
63.773,,,
63.794,,,
63.815,,,
63.837,,,
63.858,,,
63.879,,,
63.901,,,
63.922,,,
63.944,,,
63.965,,,
63.986,,,
64.008,,,
64.029,,,
64.050,,,
64.072,-9.045,-5.347E-2,9.093E-3
64.093,,,
64.114,,,
64.136,,,
64.157,,,
64.178,,,
64.200,,,
64.221,,,
64.243,,,
64.264,,,
64.285,,,
64.307,,,
64.328,,,
64.349,,,
64.371,,,
64.392,,,
64.413,,,
64.435,,,
64.456,,,
64.477,,,
64.499,,,
64.520,,,
64.542,,,
64.563,,,
64.584,,,
64.606,,,
64.627,,,
64.648,,,
64.670,,,
64.691,,,
64.712,,,
64.734,,,
64.755,,,
64.776,,,
64.798,,,
64.819,,,
64.841,,,
64.862,,,
64.883,,,
64.905,,,
64.926,-9.068,-4.103E-2,-4.996E-2
64.947,,,
64.969,,,
64.990,,,
65.011,,,
65.033,,,
65.054,,,
65.075,,,
65.097,,,
65.118,,,
65.140,,,
65.161,,,
65.182,,,
65.204,,,
65.225,,,
65.246,,,
65.268,,,
65.289,,,
65.310,,,
65.332,,,
65.353,,,
65.374,,,
65.396,,,
65.417,,,
65.439,,,
65.460,,,
65.481,,,
65.503,,,
65.524,,,
65.545,,,
65.567,,,
65.588,,,
65.609,,,
65.631,,,
65.652,,,
65.673,,,
65.695,,,
65.716,,,
65.738,,,
65.759,,,
65.780,-9.115,-0.139,-1.856E-2
65.802,,,
65.823,,,
65.844,,,
65.866,,,
65.887,,,
65.908,,,
65.930,,,
65.951,,,
65.972,,,
65.994,,,
66.015,,,
66.037,,,
66.058,,,
66.079,,,
66.101,,,
66.122,,,
66.143,,,
66.165,,,
66.186,,,
66.207,,,
66.229,,,
66.250,,,
66.271,,,
66.293,,,
66.314,,,
66.336,,,
66.357,,,
66.378,,,
66.400,,,
66.421,,,
66.442,,,
66.464,,,
66.485,,,
66.506,,,
66.528,,,
66.549,,,
66.570,,,
66.592,,,
66.613,,,
66.635,-9.302,-0.111,5.753E-2
66.656,,,
66.677,,,
66.699,,,
66.720,,,
66.741,,,
66.763,,,
66.784,,,
66.805,,,
66.827,,,
66.848,,,
66.869,,,
66.891,,,
66.912,,,
66.934,,,
66.955,,,
66.976,,,
66.998,,,
67.019,,,
67.040,,,
67.062,,,
67.083,,,
67.104,,,
67.126,,,
67.147,,,
67.168,,,
67.190,,,
67.211,,,
67.233,,,
67.254,,,
67.275,,,
67.297,,,
67.318,,,
67.339,,,
67.361,,,
67.382,,,
67.403,,,
67.425,,,
67.446,,,
67.467,,,
67.489,-9.302,0.000,6.671E-2
67.510,,,
67.532,,,
67.553,,,
67.574,,,
67.596,,,
67.617,,,
67.638,,,
67.660,,,
67.681,,,
67.702,,,
67.724,,,
67.745,,,
67.766,,,
67.788,,,
67.809,,,
67.831,,,
67.852,,,
67.873,,,
67.895,,,
67.916,,,
67.937,,,
67.959,,,
67.980,,,
68.001,,,
68.023,,,
68.044,,,
68.065,,,
68.087,,,
68.108,,,
68.130,,,
68.151,,,
68.172,,,
68.194,,,
68.215,,,
68.236,,,
68.258,,,
68.279,,,
68.300,,,
68.322,,,
68.343,-9.302,-1.393E-2,-3.335E-2
68.364,,,
68.386,,,
68.407,,,
68.429,,,
68.450,,,
68.471,,,
68.493,,,
68.514,,,
68.535,,,
68.557,,,
68.578,,,
68.599,,,
68.621,,,
68.642,,,
68.663,,,
68.685,,,
68.706,,,
68.728,,,
68.749,,,
68.770,,,
68.792,,,
68.813,,,
68.834,,,
68.856,,,
68.877,,,
68.898,,,
68.920,,,
68.941,,,
68.962,,,
68.984,,,
69.005,,,
69.027,,,
69.048,,,
69.069,,,
69.091,,,
69.112,,,
69.133,,,
69.155,,,
69.176,,,
69.197,-9.325,-5.533E-2,-3.796E-2
69.219,,,
69.240,,,
69.261,,,
69.283,,,
69.304,,,
69.326,,,
69.347,,,
69.368,,,
69.390,,,
69.411,,,
69.432,,,
69.454,,,
69.475,,,
69.496,,,
69.518,,,
69.539,,,
69.560,,,
69.582,,,
69.603,,,
69.625,,,
69.646,,,
69.667,,,
69.689,,,
69.710,,,
69.731,,,
69.753,,,
69.774,,,
69.795,,,
69.817,,,
69.838,,,
69.860,,,
69.881,,,
69.902,,,
69.924,,,
69.945,,,
69.966,,,
69.988,,,
70.009,,,
70.030,,,
70.052,-9.395,-8.299E-2,-9.216E-3
70.073,,,
70.094,,,
70.116,,,
70.137,,,
70.159,,,
70.180,,,
70.201,,,
70.223,,,
70.244,,,
70.265,,,
70.287,,,
70.308,,,
70.329,,,
70.351,,,
70.372,,,
70.393,,,
70.415,,,
70.436,,,
70.458,,,
70.479,,,
70.500,,,
70.522,,,
70.543,,,
70.564,,,
70.586,,,
70.607,,,
70.628,,,
70.650,,,
70.671,,,
70.692,,,
70.714,,,
70.735,,,
70.757,,,
70.778,,,
70.799,,,
70.821,,,
70.842,,,
70.863,,,
70.885,,,
70.906,-9.465,-6.762E-2,3.245E-2
70.927,,,
70.949,,,
70.970,,,
70.991,,,
71.013,,,
71.034,,,
71.056,,,
71.077,,,
71.098,,,
71.120,,,
71.141,,,
71.162,,,
71.184,,,
71.205,,,
71.226,,,
71.248,,,
71.269,,,
71.290,,,
71.312,,,
71.333,,,
71.355,,,
71.376,,,
71.397,,,
71.419,,,
71.440,,,
71.461,,,
71.483,,,
71.504,,,
71.525,,,
71.547,,,
71.568,,,
71.589,,,
71.611,,,
71.632,,,
71.654,,,
71.675,,,
71.696,,,
71.718,,,
71.739,,,
71.760,-9.512,-2.734E-2,9.040E-3
71.782,,,
71.803,,,
71.824,,,
71.846,,,
71.867,,,
71.888,,,
71.910,,,
71.931,,,
71.953,,,
71.974,,,
71.995,,,
72.017,,,
72.038,,,
72.059,,,
72.081,,,
72.102,,,
72.123,,,
72.145,,,
72.166,,,
72.187,,,
72.209,,,
72.230,,,
72.252,,,
72.273,,,
72.294,,,
72.316,,,
72.337,,,
72.358,,,
72.380,,,
72.401,,,
72.422,,,
72.444,,,
72.465,,,
72.486,,,
72.508,,,
72.529,,,
72.551,,,
72.572,,,
72.593,,,
72.615,-9.512,-4.089E-2,-2.254E-2
72.636,,,
72.657,,,
72.679,,,
72.700,,,
72.721,,,
72.743,,,
72.764,,,
72.785,,,
72.807,,,
72.828,,,
72.850,,,
72.871,,,
72.892,,,
72.914,,,
72.935,,,
72.956,,,
72.978,,,
72.999,,,
73.020,,,
73.042,,,
73.063,,,
73.084,,,
73.106,,,
73.127,,,
73.149,,,
73.170,,,
73.191,,,
73.213,,,
73.234,,,
73.255,,,
73.277,,,
73.298,,,
73.319,,,
73.341,,,
73.362,,,
73.383,,,
73.405,,,
73.426,,,
73.448,,,
73.469,-9.581,-8.079E-2,-9.273E-3
73.490,,,
73.512,,,
73.533,,,
73.554,,,
73.576,,,
73.597,,,
73.618,,,
73.640,,,
73.661,,,
73.682,,,
73.704,,,
73.725,,,
73.747,,,
73.768,,,
73.789,,,
73.811,,,
73.832,,,
73.853,,,
73.875,,,
73.896,,,
73.917,,,
73.939,,,
73.960,,,
73.981,,,
74.003,,,
74.024,,,
74.046,,,
74.067,,,
74.088,,,
74.110,,,
74.131,,,
74.152,,,
74.174,,,
74.195,,,
74.216,,,
74.238,,,
74.259,,,
74.280,,,
74.302,,,
74.323,-9.651,-5.555E-2,9.165E-3
74.345,,,
74.366,,,
74.387,,,
74.409,,,
74.430,,,
74.451,,,
74.473,,,
74.494,,,
74.515,,,
74.537,,,
74.558,,,
74.579,,,
74.601,,,
74.622,,,
74.644,,,
74.665,,,
74.686,,,
74.708,,,
74.729,,,
74.750,,,
74.772,,,
74.793,,,
74.814,,,
74.836,,,
74.857,,,
74.878,,,
74.900,,,
74.921,,,
74.943,,,
74.964,,,
74.985,,,
75.007,,,
75.028,,,
75.049,,,
75.071,,,
75.092,,,
75.113,,,
75.135,,,
75.156,,,
75.177,-9.675,-5.560E-2,-9.243E-3
75.199,,,
75.220,,,
75.242,,,
75.263,,,
75.284,,,
75.306,,,
75.327,,,
75.348,,,
75.370,,,
75.391,,,
75.412,,,
75.434,,,
75.455,,,
75.476,,,
75.498,,,
75.519,,,
75.541,,,
75.562,,,
75.583,,,
75.605,,,
75.626,,,
75.647,,,
75.669,,,
75.690,,,
75.711,,,
75.733,,,
75.754,,,
75.775,,,
75.797,,,
75.818,,,
75.840,,,
75.861,,,
75.882,,,
75.904,,,
75.925,,,
75.946,,,
75.968,,,
75.989,,,
76.010,,,
76.032,-9.744,-8.107E-2,-1.838E-2
76.053,,,
76.074,,,
76.096,,,
76.117,,,
76.139,,,
76.160,,,
76.181,,,
76.203,,,
76.224,,,
76.245,,,
76.267,,,
76.288,,,
76.309,,,
76.331,,,
76.352,,,
76.373,,,
76.395,,,
76.416,,,
76.438,,,
76.459,,,
76.480,,,
76.502,,,
76.523,,,
76.544,,,
76.566,,,
76.587,,,
76.608,,,
76.630,,,
76.651,,,
76.672,,,
76.694,,,
76.715,,,
76.737,,,
76.758,,,
76.779,,,
76.801,,,
76.822,,,
76.843,,,
76.865,,,
76.886,-9.814,-8.091E-2,0.000
76.907,,,
76.929,,,
76.950,,,
76.971,,,
76.993,,,
77.014,,,
77.036,,,
77.057,,,
77.078,,,
77.100,,,
77.121,,,
77.142,,,
77.164,,,
77.185,,,
77.206,,,
77.228,,,
77.249,,,
77.270,,,
77.292,,,
77.313,,,
77.335,,,
77.356,,,
77.377,,,
77.399,,,
77.420,,,
77.441,,,
77.463,,,
77.484,,,
77.505,,,
77.527,,,
77.548,,,
77.569,,,
77.591,,,
77.612,,,
77.634,,,
77.655,,,
77.676,,,
77.698,,,
77.719,,,
77.740,-9.884,-8.138E-2,-2.760E-2
77.762,,,
77.783,,,
77.804,,,
77.826,,,
77.847,,,
77.868,,,
77.890,,,
77.911,,,
77.933,,,
77.954,,,
77.975,,,
77.997,,,
78.018,,,
78.039,,,
78.061,,,
78.082,,,
78.103,,,
78.125,,,
78.146,,,
78.167,,,
78.189,,,
78.210,,,
78.232,,,
78.253,,,
78.274,,,
78.296,,,
78.317,,,
78.338,,,
78.360,,,
78.381,,,
78.402,,,
78.424,,,
78.445,,,
78.466,,,
78.488,,,
78.509,,,
78.531,,,
78.552,,,
78.573,,,
78.595,-9.954,-0.125,-3.173E-2
78.616,,,
78.637,,,
78.659,,,
78.680,,,
78.701,,,
78.723,,,
78.744,,,
78.765,,,
78.787,,,
78.808,,,
78.830,,,
78.851,,,
78.872,,,
78.894,,,
78.915,,,
78.936,,,
78.958,,,
78.979,,,
79.000,,,
79.022,,,
79.043,,,
79.064,,,
79.086,,,
79.107,,,
79.129,,,
79.150,,,
79.171,,,
79.193,,,
79.214,,,
79.235,,,
79.257,,,
79.278,,,
79.299,,,
79.321,,,
79.342,,,
79.363,,,
79.385,,,
79.406,,,
79.428,,,
79.449,-10.09,-0.150,1.360E-2
79.470,,,
79.492,,,
79.513,,,
79.534,,,
79.556,,,
79.577,,,
79.598,,,
79.620,,,
79.641,,,
79.662,,,
79.684,,,
79.705,,,
79.727,,,
79.748,,,
79.769,,,
79.791,,,
79.812,,,
79.833,,,
79.855,,,
79.876,,,
79.897,,,
79.919,,,
79.940,,,
79.961,,,
79.983,,,
80.004,,,
80.026,,,
80.047,,,
80.068,,,
80.090,,,
80.111,,,
80.132,,,
80.154,,,
80.175,,,
80.196,,,
80.218,,,
80.239,,,
80.260,,,
80.282,,,
80.303,-10.21,-9.305E-2,4.914E-2
80.325,,,
80.346,,,
80.367,,,
80.389,,,
80.410,,,
80.431,,,
80.453,,,
80.474,,,
80.495,,,
80.517,,,
80.538,,,
80.559,,,
80.581,,,
80.602,,,
80.624,,,
80.645,,,
80.666,,,
80.688,,,
80.709,,,
