t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,0.614,,,,,,1.112,,,,
0.017,,0.614,0,,0,0,,1.112,0,,0,0
0.034,,0.614,0,0,0,0,,1.112,-0.01363,-1.151,0.01363,0.00009288
0.051,,0.614,0,0,0,0,,1.111,-0.04087,-0.691,0.04087,0.0008354
0.069,,0.614,0,0,0,0,,1.11,-0.04087,-0.147,0.04087,0.0008354
0.086,,0.614,0,0,0,0,,1.11,-0.02725,-0.147,0.02725,0.0003713
0.103,,0.614,0,0,0,0,,1.109,-0.03633,-0.589,0.03633,0.00066
0.12,,0.614,0,0,0,0,,1.108,-0.06812,0.147,0.06812,0.00232
0.137,,0.614,0,0,0,0,,1.107,-0.0545,0,0.0545,0.001485
0.154,,0.614,0,0,0,0,,1.106,-0.0545,0,0.0545,0.001485
0.172,,0.614,0,0,0,0,,1.105,-0.06815,-0.23,0.06815,0.002322
0.189,,0.614,0,0,0,0,,1.104,-0.05452,-0.461,0.05452,0.001486
0.206,,0.614,0,0,0,0,,1.103,-0.08175,-1.382,0.08175,0.003341
0.223,,0.614,0,0,0,0,,1.101,-0.109,-0.921,0.109,0.00594
0.24,,0.614,0,0,0,0,,1.099,-0.109,-0.46,0.109,0.00594
0.257,,0.614,0,0,0,0,,1.097,-0.123,-0.691,0.123,0.007611
0.275,,0.614,0,0,0,0,,1.095,-0.136,-0.46,0.137,0.009375
0.292,,0.614,0,0,0,0,,1.093,-0.136,-0.46,0.137,0.009375
0.309,,0.614,0,0,0,0,,1.091,-0.15,-2.072,0.15,0.01132
0.326,,0.614,0,0,0,0,,1.088,-0.204,-2.533,0.205,0.02099
0.343,,0.614,0,0,0,0,,1.084,-0.245,-0.921,0.245,0.03009
0.36,,0.614,0,0,0,0,,1.08,-0.232,-0.691,0.232,0.02692
0.378,,0.614,0,0,0,0,,1.076,-0.259,-3.453,0.259,0.0336
0.395,,0.614,0,0,0,0,,1.071,-0.354,-5.064,0.355,0.06312
0.412,,0.614,0,0,0,0,,1.064,-0.436,-3.223,0.437,0.09542
0.429,,0.614,0,0,0,0,,1.056,-0.463,-1.381,0.465,0.108
0.446,,0.614,0,0,0,0,,1.048,-0.477,-2.072,0.482,0.116
0.463,,0.614,0,0,0,0,,1.04,-0.531,-2.993,0.533,0.142
0.481,,0.614,0,0,0,0,,1.03,-0.586,-2.993,0.586,0.172
0.498,,0.614,0,0,0,0,,1.02,-0.627,-1.842,0.627,0.197
0.515,,0.614,0,0,0,0,,1.009,-0.654,0.461,0.654,0.214
0.532,,0.614,0,0,0,0,,0.998,-0.613,0.691,0.613,0.188
0.549,,0.614,0,0,0,0,,0.988,-0.613,0.691,0.614,0.188
0.566,,0.614,0,0,0,0,,0.977,-0.613,0.691,0.614,0.189
0.584,,0.614,0,0,0,0,,0.968,-0.572,-0.46,0.573,0.164
0.601,,0.614,0,0,0,0,,0.958,-0.627,-0.921,0.628,0.197
0.618,,0.614,0,0,0,0,,0.946,-0.627,0.921,0.627,0.197
0.635,,0.614,0,0,0,0,,0.937,-0.572,1.842,0.572,0.164
0.652,,0.614,0,0,0,0,,0.927,-0.572,-2.763,0.573,0.164
0.669,,0.614,0,0,0,0,,0.917,-0.654,-0.46,0.655,0.215
0.686,,0.614,0,0,0,0,,0.905,-0.627,0.46,0.627,0.196
0.704,,0.614,0,0,0,0,,0.896,-0.586,0.691,0.586,0.172
0.721,,0.614,0,0,0,0,,0.885,-0.64,-1.151,0.641,0.205
0.738,,0.614,0,0,0,0,,0.874,-0.613,2.532,0.613,0.188
0.755,,0.614,0,0,0,0,,0.864,-0.559,1.151,0.56,0.157
0.772,,0.614,0,0,0,0,,0.856,-0.559,-2.533,0.561,0.158
0.789,,0.614,0,0,0,0,,0.845,-0.654,-1.382,0.655,0.215
0.807,,0.614,0,0,0,0,,0.833,-0.627,0.921,0.627,0.196
0.824,,0.614,0,0,0,0,,0.824,-0.586,-0.23,0.586,0.172
0.841,,0.614,0,0,0,0,,0.814,-0.654,-1.381,0.654,0.214
0.858,,0.614,0,0,0,0,,0.802,-0.64,2.532,0.641,0.205
0.875,,0.614,0,0,0,0,,0.792,-0.559,0.23,0.559,0.156
0.892,,0.614,0,0,0,0,,0.783,-0.613,-1.151,0.613,0.188
0.91,,0.614,0,0,0,0,,0.771,-0.64,1.151,0.641,0.205
0.927,,0.614,0,-5.066,0,0,,0.762,-0.545,5.987,0.545,0.149
0.944,,0.614,-0.15,-8.059,0.151,0.01133,,0.753,-0.45,5.296,0.45,0.101
0.961,,0.609,-0.313,-6.217,0.315,0.04947,,0.746,-0.354,4.145,0.355,0.06312
0.978,,0.603,-0.341,-0.23,0.342,0.05838,,0.741,-0.313,-2.072,0.314,0.04919
0.995,,0.597,-0.327,-0.921,0.327,0.05356,,0.736,-0.409,-1.842,0.409,0.08354
1.013,,0.592,-0.354,-2.762,0.355,0.06312,,0.727,-0.422,2.532,0.423,0.08929
1.03,,0.586,-0.436,-0.921,0.438,0.09588,,0.721,-0.286,1.611,0.287,0.0413
1.047,,0.578,-0.395,0.691,0.395,0.07815,,0.717,-0.354,-2.303,0.355,0.06312
1.064,,0.572,-0.382,0.461,0.382,0.07282,,0.709,-0.409,-1.382,0.409,0.08368
1.081,,0.565,-0.409,-1.842,0.41,0.08396,,0.703,-0.368,-0.23,0.368,0.06771
1.098,,0.558,-0.422,1.151,0.423,0.08957,,0.697,-0.422,-1.151,0.422,0.0892
1.116,,0.55,-0.395,0.23,0.395,0.07806,,0.689,-0.422,-0.23,0.422,0.0892
1.133,,0.545,-0.381,0,0.381,0.07277,,0.683,-0.409,1.381,0.409,0.08354
