t,Mass A,x,y,Mass B,x,y
1.433333,,0.3990162,0.353739,,0.06652716,-0.293265
1.45,,0.4025848,0.3555233,,0.06935966,-0.2812268
1.466667,,0.4048151,0.3577537,,0.07219217,-0.2642318
1.483333,,0.4074916,0.359538,,0.07219217,-0.2465286
1.5,,0.4106141,0.3622144,,0.07360842,-0.2330742
1.516667,,0.4141827,0.3648909,,0.07431655,-0.2139548
1.533333,,0.4190896,0.3693517,,0.07644093,-0.2047491
1.55,,0.4226582,0.3720281,,0.07644093,-0.1934191
1.566667,,0.4289032,0.3769349,,0.07927343,-0.1778403
1.583333,,0.4378247,0.3822878,,0.07927343,-0.1636778
1.6,,0.4445159,0.3885329,,0.08068969,-0.148099
1.616667,,0.4543295,0.3938858,,0.08423032,-0.1282714
1.633333,,0.4592364,0.3979005,,0.08706283,-0.1204821
1.65,,0.4641432,0.401023,,0.08918721,-0.1049033
1.666667,,0.46905,0.4045916,,0.09201971,-0.09144886
1.683333,,0.4721726,0.4072681,,0.09980911,-0.06808068
1.7,,0.4752951,0.4099445,,0.1012254,-0.05816691
1.716667,,0.4860009,0.4152974,,0.1019335,-0.04471251
1.733333,,0.4931381,0.4202043,,0.1033497,-0.03054997
1.75,,0.4998292,0.424219,,0.1040579,-0.01780369
1.766667,,0.5056282,0.4277876,,0.1054741,-0.002933035
1.783333,,0.5096429,0.4291258,,0.1075985,0.01052137
1.8,,0.5136576,0.4326944,,0.1118473,0.02822454
1.816667,,0.5190105,0.4380473,,0.1125554,0.03743018
1.833333,,0.5212409,0.4393855,,0.1139716,0.05300897
1.85,,0.5248095,0.4416159,,0.1168041,0.06363087
1.866667,,0.527932,0.4456306,,0.1196367,0.07496089
1.883333,,0.5315006,0.448307,,0.1196367,0.09691282
1.9,,0.5346231,0.4505374,,0.1196367,0.0990372
1.916667,,0.5399761,0.4527678,,0.1196367,0.1139079
1.933333,,0.5471133,0.4549982,,0.1224692,0.1358598
1.95,,0.5511279,0.4590129,,0.1245935,0.159228
1.966667,,0.557373,0.4616893,,0.1260098,0.1740986
1.983333,,0.5658484,0.4665961,,0.1260098,0.1896774
2,,0.5729856,0.4706108,,0.1281342,0.2024237
2.016667,,0.5787846,0.4746255,,0.1309667,0.2116293
2.033333,,0.5823532,0.4768559,,0.1316748,0.2187106
2.05,,0.5894904,0.4817627,,0.1337992,0.2300406
2.066667,,0.5952894,0.4853313,,0.1352154,0.2406625
2.083333,,0.598858,0.4875617,,0.1373398,0.24916
2.1,,0.6033188,0.4906842,,0.1380479,0.2633226
