t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,-0.539,,,,,,8.41E-02,,,,
0.017,,-0.539,0,,0,0,,8.41E-02,0,,0,0
0.034,,-0.539,0,0,0,0,,8.41E-02,0,0,0,0
0.052,,-0.539,0,0.238,0,0,,8.41E-02,0,0,0,0
0.069,,-0.539,7.05E-03,0.356,9.91E-03,4.91E-05,,8.41E-02,0,0,0,0
0.086,,-0.539,1.41E-02,0.473,1.57E-02,1.23E-04,,8.41E-02,0,0,0,0
0.103,,-0.539,2.10E-02,0.591,2.10E-02,2.21E-04,,8.41E-02,0,0,0,0
0.12,,-0.538,3.51E-02,0.355,3.51E-02,6.14E-04,,8.41E-02,0,0,0,0
0.138,,-0.538,3.51E-02,-0.355,3.51E-02,6.14E-04,,8.41E-02,0,0,0,0
0.155,,-0.537,2.10E-02,0.118,2.10E-02,2.21E-04,,8.41E-02,0,0,0,0
0.172,,-0.537,3.51E-02,1.066,3.51E-02,6.15E-04,,8.41E-02,0,0,0,0
0.189,,-0.536,6.31E-02,1.54,6.31E-02,1.99E-03,,8.41E-02,0,0,0,0
0.206,,-0.535,8.41E-02,1.422,8.41E-02,3.54E-03,,8.41E-02,0,0,0,0
0.224,,-0.533,0.112,3.079,0.112,6.29E-03,,8.41E-02,0,0,0,0
0.241,,-0.531,0.182,2.366,0.182,1.66E-02,,8.41E-02,0,0,0,0
0.258,,-0.527,0.21,3.079,0.211,2.22E-02,,8.41E-02,0,0,0,0
0.275,,-0.524,0.259,3.439,0.259,3.37E-02,,8.41E-02,0,0,0,0
0.292,,-0.518,0.351,5.453,0.351,6.16E-02,,8.41E-02,0,0,0,0
0.31,,-0.512,0.428,6.043,0.428,9.16E-02,,8.41E-02,0,0,0,0
0.327,,-0.504,0.561,1.655,0.561,0.158,,8.41E-02,0,0,0,0
0.344,,-0.493,0.512,-1.071,0.512,0.131,,8.41E-02,0,0,0,0
0.361,,-0.486,0.469,-0.637,0.47,0.11,,8.41E-02,0,0,0,0
0.378,,-0.477,0.531,2.49,0.532,0.141,,8.41E-02,0,0,0,0
0.396,,-0.469,0.536,-1.033,0.536,0.143,,8.41E-02,0,0,0,0
0.413,,-0.459,0.511,-0.767,0.511,0.13,,8.41E-02,0,0,0,0
0.43,,-0.451,0.491,-0.418,0.491,0.12,,8.41E-02,0,0,0,0
0.447,,-0.443,0.51,1.088,0.511,0.13,,8.41E-02,0,0,0,0
0.464,,-0.434,0.521,0.923,0.521,0.136,,8.41E-02,0,0,0,0
0.482,,-0.425,0.545,-0.503,0.545,0.149,,8.41E-02,0,0,0,0
0.499,,-0.416,0.511,-0.921,0.511,0.13,,8.41E-02,0,0,0,0
0.516,,-0.408,0.496,-0.335,0.496,0.123,,8.41E-02,0,0,0,0
0.533,,-0.399,0.515,0.335,0.516,0.133,,8.41E-02,0,0,0,0
0.55,,-0.39,0.501,0.423,0.501,0.125,,8.41E-02,0,0,0,0
0.567,,-0.382,0.525,0.838,0.526,0.138,,8.41E-02,0,0,0,0
0.585,,-0.372,0.54,-0.588,0.54,0.146,,8.41E-02,0,0,0,0
0.602,,-0.364,0.501,-0.926,0.501,0.125,,8.41E-02,0,0,0,0
0.619,,-0.356,0.501,0.418,0.501,0.125,,8.41E-02,0,0,0,0
0.636,,-0.347,0.526,0,0.526,0.138,,8.41E-02,0,0,0,0
0.653,,-0.338,0.501,-0.416,0.501,0.125,,8.41E-02,0,0,0,0
