tiempo_s,posicion_m,velocidad_m_s,aceleracion_m_s2
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.004
0.85,0.0,0.0,0.023
0.9,0.0,0.001,0.096
0.95,0.0,0.005,0.27
1.0,0.0,0.022,0.557
1.05,0.001,0.062,0.814
1.1,0.006,0.11,0.933
1.15,0.012,0.159,0.958
1.2,0.022,0.208,0.931
1.25,0.033,0.252,0.913
1.3,0.047,0.298,0.911
1.35,0.063,0.342,0.921
1.4,0.081,0.39,0.937
1.45,0.102,0.438,0.921
1.5,0.125,0.482,0.911
1.55,0.15,0.528,0.91
1.6,0.178,0.572,0.919
1.65,0.207,0.62,0.928
1.7,0.24,0.667,0.902
1.75,0.274,0.71,0.879
1.8,0.311,0.753,0.891
1.85,0.349,0.799,0.901
1.9,0.391,0.846,0.87
1.95,0.434,0.884,0.872
2.0,0.479,0.931,0.91
2.05,0.527,0.978,0.91
2.1,0.577,1.022,0.906
2.15,0.629,1.068,0.9
2.2,0.684,1.112,0.893
2.25,0.74,1.158,0.887
2.3,0.8,1.201,0.852
2.35,0.86,1.244,0.693
2.4,0.924,1.292,-0.129
2.45,0.99,1.286,-2.175
2.5,1.057,1.154,-5.498
2.55,1.124,0.684,-7.56
2.6,1.126,0.201,-5.848
2.65,1.126,0.042,-2.778
2.7,1.126,0.001,-0.923
2.75,1.126,0.0,-0.186
2.8,1.126,0.0,-0.025
2.85,1.126,0.0,-0.001
2.9,1.126,0.0,0.0
2.95,1.126,0.0,0.0
3.0,1.126,0.0,0.0
3.05,1.126,0.0,0.0
3.1,1.126,0.0,0.0
3.15,1.126,0.0,0.0
3.2,1.126,0.0,0.0
3.25,1.126,0.0,0.0
3.3,1.126,0.0,0.0
3.35,1.126,0.0,0.0
3.4,1.126,0.0,0.0
3.45,1.126,0.0,0.0
3.5,1.126,0.0,0.0
3.55,1.126,0.0,0.0
3.6,1.126,0.0,0.0
3.65,1.126,0.0,0.0
3.7,1.126,0.0,0.0
3.75,1.126,0.0,0.0
3.8,1.126,0.0,0.0
3.85,1.126,0.0,0.0
3.9,1.126,0.0,0.0
3.95,1.126,0.0,0.0
4.0,1.126,0.0,0.0
4.05,1.126,0.0,0.0
4.1,1.126,0.0,0.0
4.15,1.126,0.0,0.0
4.2,1.126,0.0,0.0
4.25,1.126,0.0,0.0
4.3,1.126,0.0,0.0
4.35,1.126,0.0,0.0
4.4,1.126,0.0,0.0
4.45,1.126,0.0,0.0
4.5,1.126,0.0,0.0
4.55,1.126,0.0,0.0
4.6,1.126,0.0,0.0
4.65,1.126,0.0,0.0
4.7,1.126,0.0,0.0
4.75,1.126,0.0,0.0
4.8,1.126,0.0,0.0
4.85,1.126,0.0,0.0
4.9,1.126,0.0,0.0
4.95,1.126,0.0,0.0
5.0,1.126,0.0,0.0
