tiempo_s,posicion_m,velocidad_m_s,aceleracion_m_s2
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.001
0.4,0.0,0.0,0.008
0.45,0.0,0.0,0.045
0.5,0.0,0.002,0.155
0.55,0.0,0.009,0.387
0.6,0.0,0.037,0.681
0.65,0.003,0.082,0.891
0.7,0.008,0.132,0.983
0.75,0.016,0.185,0.965
0.8,0.027,0.229,0.911
0.85,0.039,0.273,0.911
0.9,0.054,0.32,0.924
0.95,0.071,0.367,0.909
1.0,0.091,0.411,0.899
1.05,0.112,0.454,0.93
1.1,0.136,0.506,0.928
1.15,0.163,0.549,0.891
1.2,0.191,0.592,0.892
1.25,0.222,0.638,0.902
1.3,0.255,0.682,0.917
1.35,0.29,0.73,0.926
1.4,0.328,0.777,0.894
1.45,0.368,0.819,0.864
1.5,0.41,0.861,0.881
1.55,0.454,0.905,0.938
1.6,0.5,0.957,0.954
1.65,0.55,1.005,0.888
1.7,0.601,1.044,0.853
1.75,0.654,1.088,0.856
1.8,0.71,1.13,0.861
1.85,0.767,1.173,0.885
1.9,0.827,1.22,0.821
1.95,0.889,1.267,0.35
2.0,0.954,1.291,-1.033
2.05,1.02,1.234,-3.721
2.1,1.089,0.941,-6.566
2.15,1.125,0.45,-6.854
2.2,1.125,0.118,-4.404
2.25,1.125,0.02,-1.865
2.3,1.125,0.0,-0.547
2.35,1.125,0.0,-0.099
2.4,1.125,0.0,-0.011
2.45,1.125,0.0,0.0
2.5,1.125,0.0,0.0
2.55,1.125,0.0,0.0
2.6,1.125,0.0,0.0
2.65,1.125,0.0,0.0
2.7,1.125,0.0,0.0
2.75,1.125,0.0,0.0
2.8,1.125,0.0,0.0
2.85,1.125,0.0,0.0
2.9,1.125,0.0,0.0
2.95,1.125,0.0,0.0
3.0,1.125,0.0,0.0
3.05,1.125,0.0,0.0
3.1,1.125,0.0,0.0
3.15,1.125,0.0,0.0
3.2,1.125,0.0,0.0
3.25,1.125,0.0,0.0
3.3,1.125,0.0,0.0
3.35,1.125,0.0,0.0
3.4,1.125,0.0,0.0
3.45,1.125,0.0,0.0
3.5,1.125,0.0,0.0
3.55,1.125,0.0,0.0
3.6,1.125,0.0,0.0
3.65,1.125,0.0,0.0
3.7,1.125,0.0,0.0
3.75,1.125,0.0,0.0
3.8,1.125,0.0,0.0
3.85,1.125,0.0,0.0
3.9,1.125,0.0,0.0
3.95,1.125,0.0,0.0
4.0,1.125,0.0,0.0
4.05,1.125,0.0,0.0
4.1,1.125,0.0,0.0
4.15,1.125,0.0,0.0
4.2,1.125,0.0,0.0
4.25,1.125,0.0,0.0
4.3,1.125,0.0,0.0
4.35,1.125,0.0,0.0
4.4,1.125,0.0,0.0
4.45,1.125,0.0,0.0
4.5,1.125,0.0,0.0
4.55,1.125,0.0,0.0
4.6,1.125,0.0,0.0
4.65,1.125,0.0,0.0
4.7,1.125,0.0,0.0
4.75,1.125,0.0,0.0
4.8,1.125,0.0,0.0
4.85,1.125,0.0,0.0
4.9,1.125,0.0,0.0
4.95,1.125,0.0,0.0
5.0,1.125,0.0,0.0
