t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,-0.56,,,,,,0.07557,,,,
0.017,,-0.56,0.06065,,0.06068,0.001841,,0.07557,0,0,0,0
0.034,,-0.558,0.121,2.459,0.121,0.007358,,0.07557,0,0,0,0
0.051,,-0.556,0.146,1.242,0.146,0.0106,,0.07557,0,0,0,0
0.068,,-0.553,0.158,1.044,0.158,0.01251,,0.07557,0,0,0,0
0.085,,-0.55,0.183,2.253,0.184,0.01685,,0.07557,0,0,0,0
0.101,,-0.547,0.231,5.115,0.231,0.02664,,0.07557,0,0,0,0
0.118,,-0.543,0.352,6.741,0.352,0.06196,,0.07557,0,0,0,0
0.135,,-0.535,0.473,4.329,0.473,0.112,,0.07557,0,0,0,0
0.152,,-0.527,0.498,2.293,0.498,0.124,,0.07557,0,0,0,0
0.169,,-0.518,0.536,2.017,0.537,0.144,,0.07557,0,0,0,0
0.186,,-0.508,0.582,1.991,0.582,0.17,,0.07557,0,0,0,0
0.203,,-0.499,0.593,-0.999,0.595,0.177,,0.07557,0,0,0,0
0.22,,-0.488,0.559,-2.413,0.559,0.156,,0.07557,0,0,0,0
0.237,,-0.48,0.498,-1.05,0.498,0.124,,0.07557,0,0,0,0
0.254,,-0.471,0.521,-1.46,0.522,0.136,,0.07557,0,0,0,0
0.271,,-0.462,0.473,-1.434,0.473,0.112,,0.07557,0,0,0,0
0.287,,-0.455,0.437,-0.807,0.437,0.09536,,0.07557,0,0,0,0
0.304,,-0.447,0.473,3.093,0.473,0.112,,0.07557,0,0,0,0
0.321,,-0.439,0.522,0.628,0.522,0.136,,0.07557,0,0,0,0
0.338,,-0.43,0.522,-1.038,0.522,0.136,,0.07557,0,0,0,0
0.355,,-0.422,0.461,-2.055,0.461,0.106,,0.07557,0,0,0,0
0.372,,-0.414,0.461,1.223,0.461,0.106,,0.07557,0,0,0,0
0.389,,-0.406,0.498,0.198,0.498,0.124,,0.07557,0,0,0,0
0.406,,-0.397,0.485,-2.868,0.485,0.118,,0.07557,0,0,0,0
0.423,,-0.39,0.388,-1.594,0.388,0.07542,,0.07557,0,0,0,0
0.44,,-0.384,0.414,2.459,0.415,0.08624,,0.07557,0,0,0,0
0.457,,-0.376,0.498,1.806,0.498,0.124,,0.07557,0,0,0,0
0.473,,-0.367,0.473,-1.441,0.473,0.112,,0.07557,0,0,0,0
0.49,,-0.36,0.437,-0.384,0.437,0.09566,,0.07557,0,0,0,0
0.507,,-0.352,0.462,2.036,0.462,0.107,,0.07557,0,0,0,0
0.524,,-0.344,0.509,0.384,0.51,0.13,,0.07557,0,0,0,0
0.541,,-0.335,0.485,-0.397,0.485,0.118,,0.07557,0,0,0,0
0.558,,-0.328,0.473,0.198,0.473,0.112,,0.07557,0,0,0,0
0.575,,-0.319,0.509,-1.614,0.51,0.13,,0.07557,0,0,0,0
